Franchise,Movie_Count,revenue,ganancia_promedio_por_franquicia
Love in the City Collection,3,19310550.0,23278271.67
Appleseed Collection,3,1461989.0,0.0
French Fried Vacation,3,0.0,0.0
Tiny Times Collection,3,126.0,3388819.67
Black Scorpion Collection,3,0.0,0.0
Puella Magi Madoka Magica: The Movie,3,12947880.0,0.0
Sailor Moon Collection,3,0.0,0.0
Pippi Longstocking,3,0.0,0.0
Anne of Green Gables Collection,3,0.0,60877088.33
Trilogía de la violencia de Michael Haneke,3,0.0,80928712.33
Would I Lie to You? Collection,3,113080982.0,0.0
The Vengeance Collection,3,40738250.0,9236238.67
Oskar Luts Collection,3,0.0,0.0
The Comics Collection,3,0.0,0.0
Barbie Fairytopia Collection,3,0.0,706290.33
The Cremaster Cycle,3,0.0,16292834.0
Annika Bengtzon Collection,3,0.0,1790174.0
Bikini Summer Collection,3,0.0,0.0
Unoffical Ghosthouse Series,3,0.0,0.0
Pusher Collection,3,0.0,0.0
Johan Falk Collection,3,0.0,674045.0
Koker Trilogy,3,0.0,0.0
Batman Unlimited Collection,3,0.0,0.0
Hellboy (Animated) Collection,3,0.0,0.0
Samurai Trilogy,3,7338987.0,0.0
Naked Collection,3,0.0,261037659.67
Golmaal Collection,3,0.0,36244933.33
The Gingerdead Man Collection,3,0.0,0.0
A Chinese Ghost Story Collection,3,0.0,24587505.33
Berserk: Golden Age Arc,3,0.0,2666666.67
The Trip Collection,3,951179.0,28549188.33
Harold & Kumar Collection,3,102817243.0,2963561.67
Samurai Collection,3,0.0,0.0
Honey Collection,3,62646763.0,12000000.0
Prostokvashino Collection,3,0.0,0.0
Europa Trilogy,3,0.0,0.0
Darkman Collection,3,48878502.0,39090255.0
Самый лучший фильм - Коллекция,3,9816332.0,1966666.67
Pitbull - Kolekcja,3,0.0,0.0
Hate Story Collection,3,0.0,0.0
Otto Collection,3,0.0,0.0
Ginger Snaps Collection,3,0.0,1230356738.67
Tenchi Muyô Collection,3,0.0,0.0
The Good Witch Collection,3,0.0,0.0
Kizumonogatari,3,0.0,0.0
The Cabin Fever Collection,3,30553394.0,41337022.67
Elements Trilogy,3,11452892.0,0.0
S.W.A.T. Collection,3,116643346.0,0.0
Trilogie,3,0.0,29311740.33
Winnie-the-Pooh (Russian),3,0.0,0.0
Les Ripoux - Trilogie,3,0.0,0.0
The Work and the Glory Collection,3,6697771.0,0.0
The Klapisch Trilogy,3,27625100.0,49798809.0
Aki Kaurismäki's Finland trilogy,3,1615018.0,88450070.67
Maigret (Rowan Atkinson) Collection,3,0.0,0.0
Gourmet Detective Collection,3,0.0,0.0
Willard,3,0.0,478362120.67
Ivan Tsarevich & the Grey Wolf Collection,3,27724000.0,0.0
Class of 1999 Collection,3,2459895.0,0.0
Not Quite Human Collection,3,0.0,0.0
Lovey-Dovey Collection,3,17850711.0,0.0
The Cheetah Girls Collection,3,0.0,80546430.0
The Matt Helm Collection,3,18718124.0,63207564.33
The Adventures of Erast Fandorin,3,0.0,0.0
The Butterfly Effect Collection,3,96060858.0,14820283.33
The Orphic Trilogy,3,0.0,6123502.0
Overheard Collection,3,0.0,254410988.0
Topper Collection,3,0.0,0.0
That's Entertainment Collection,3,0.0,5759.0
Major Korenev Trilogy,3,5166340.0,0.0
Naval Cadets Collection,3,0.0,49276310.0
The Grudge Collection,3,261228450.0,0.0
It's Alive Collection,3,0.0,0.0
Witchboard Collection,3,168180.0,0.0
The Elusive Revengers Collection,3,0.0,27687052.67
Night of the Demons Collection,3,3109904.0,87980.33
"No Retreat, No Surrender Collection",3,4770291.0,0.0
Anchorman Collection,3,264223203.0,156853649.67
The Philadelphia Experiment - Collezione,3,2970.0,0.0
The Human Condition,3,0.0,0.0
Dead or Alive Collection,3,0.0,0.0
Per Fly trilogien (Samling),3,0.0,303137.67
Robot Jox Collection,3,0.0,337396.33
Infernal Affairs Collection,3,8708932.0,11000112.33
The Complete Monterey Pop Festival,3,0.0,0.0
Silence of God Trilogy by Ingmar Bergman,3,0.0,37373730.67
Vampire Karnstein (Hammer series),3,0.0,0.0
The Delta Force Collection,3,24467261.0,0.0
Legend of the Galactic Heroes Collection,3,0.0,38422458.33
Thou Shalt Laugh Collection,3,0.0,0.0
Walking Tall Collection,3,57223890.0,0.0
The Prince & Me Collection,3,0.0,0.0
The Boogeyman Collection,3,67192859.0,0.0
The Man from U.N.C.L.E. Collection,3,0.0,152126633.0
Screwballs Collection,3,0.0,5061747.0
Kung Fu Panda Collection,3,1818607666.0,0.0
12 Rounds Collection,3,17280326.0,0.0
V/H/S Collection,3,124934.0,10689000.0
Garfield (Animation) Collection,3,0.0,0.0
Ranma Collection,3,0.0,0.0
The Hangover Collection,3,1075726677.0,0.0
Bad Ass Collection,3,0.0,0.0
Nativity Collection,3,0.0,1595596.33
Lucky Stars Collection,3,0.0,0.0
Star Trek: Alternate Reality Collection,3,1196517508.0,754840.67
The Wolverine Collection,3,1405305345.0,0.0
The Millennium Collection,3,214839043.0,6035.67
Shaolin Temple Collection,3,19712261.0,3817630.67
La Trilogie Marseillaise,3,0.0,21009227.0
The Hobbit Collection,3,2935523356.0,52129401.67
StreetDance Collection,3,18197477.0,0.0
Ip Man Collection,3,214733351.0,1865422.33
Rurouni Kenshin Live-Action Collection,3,61700000.0,0.0
Hanzo the Razor Collection,3,0.0,0.0
Beverly Hills Chihuahua Collection,3,161281606.0,0.0
Crows Collection,3,0.0,243917.67
The Sabata Collection,3,0.0,4389342.33
Cat Stevens y Hutch Bessy Trilogy,3,0.0,0.0
Death Race Collection,3,73762516.0,1502701.33
Resident Evil: Biohazard,3,0.0,17237163.67
The ABCs of Death Collection,3,28831.0,0.0
Death Note Collection,3,108734800.0,30840688.33
Sissi Collection,3,0.0,0.0
Rebuild of Evangelion,3,101873825.0,6666666.67
Pitch Perfect Collection,3,402856620.0,0.0
Spud Collection,3,0.0,11774348.0
Demonic Toys Collection,3,0.0,0.0
Insidious Collection,3,201313001.0,0.0
"Pane, amore e… - Collezione",3,0.0,23968.0
"Sarah, Plain and Tall Collection",3,0.0,0.0
The One-Armed Swordsman Collection,3,0.0,27675974.67
Easy Money Collection,3,0.0,2490434.67
Thor Collection,3,1093898020.0,6867905.0
Captain America Collection,3,2238640841.0,0.0
Tekken Collection,3,967000.0,0.0
The Smurfs (Theatrical) Collection,3,1108367047.0,0.0
The Expendables Collection,3,793216361.0,17407768.67
Rampage Collection,3,0.0,58064856.67
Trilogia Zé do Caixão,3,0.0,269780777.33
男はつらいよ シリーズ,3,0.0,206542494.0
Mega Shark Collection,3,0.0,0.0
Alpha and Omega Collection,3,39300000.0,0.0
The Human Centipede Collection,3,0.0,0.0
Planet of the Apes (Reboot) Collection,3,1563412714.0,0.0
Varg Veum Collection,3,0.0,0.0
Cold Prey Collection,3,0.0,0.0
The Worricker Collection,3,0.0,0.0
Sometimes They Come Back Collection,3,0.0,0.0
Xtro Collection,3,0.0,0.0
The Gruffalo Collection,3,0.0,0.0
Sharktopus Collection,3,0.0,55301563.67
The Incredible Hulk (TV Movie) Collection,3,0.0,0.0
Housefull Collection,3,0.0,0.0
The Purge Collection,3,316699354.0,219524.33
Stargate SG-1 Collection,3,8900000.0,0.0
The Blind Dead Collection,3,0.0,10903631.33
My Little Pony: Equestria Girls Collection,3,0.0,41769347.67
High School Musical Collection,3,7000000.0,316611207.33
Cars Collection,3,1372005602.0,0.0
Robert Langdon Collection,3,1344455157.0,0.0
Curious George Collection,3,69834815.0,201834219.67
20th Century Boys Collection,3,31244858.0,28467270.0
Troll Collection,3,5450815.0,656302141.67
Shark.Attack,3,0.0,5693389.0
Jungle Jim Collection,3,0.0,287.33
Hostel Collection,3,116198455.0,0.0
Charlie Chan (Roland Winters) Collection,3,0.0,0.0
BloodRayne Collection,3,2405420.0,0.0
The Chronicles of Narnia Collection,3,1584144587.0,31587949.33
Jarhead Collection,3,96889998.0,0.0
Mostly Ghostly Collection,3,0.0,0.0
I Spit on Your Grave Collection,3,573618.0,0.0
Goal! Collection,3,27610873.0,0.0
Green Street Hooligans Collection,3,3154346.0,0.0
Whistling Collection,3,0.0,0.0
Snow Queen Collection,3,12400000.0,0.0
Mr. Wong Collection,3,0.0,0.0
Whispering Corridors Collection,3,0.0,0.0
The Dark Knight Collection,3,2463716216.0,0.0
Lone Wolf film series,3,0.0,2246380.33
Ukraine Trilogy,3,0.0,0.0
The Ouija Experiment Collection,3,0.0,4000000.0
Trilogy of Life,3,0.0,0.0
Fantomas Collection,3,0.0,0.0
Krrish Collection,3,0.0,51232875.0
Jungledyret Hugo Collection,3,0.0,0.0
Night at the Museum Collection,3,1337011293.0,17881067.0
Dhoom Series,3,149396427.0,0.0
Taken Collection,3,928743298.0,40523360.33
Iron Man Collection,3,2424547547.0,154966181.33
Outpost Collection,3,0.0,8307412.33
Never Back Down Collection,3,41627431.0,9302007.0
Anders Matthesen,3,0.0,0.0
Zeitgeist Collection,3,0.0,8612205.33
Killjoy,3,0.0,0.0
Paradise Trilogy,3,37476.0,424739669.67
Hatchet Collection,3,52604.0,0.0
In the Name of the King Collection,3,0.0,0.0
Design Trilogy,3,0.0,0.0
One Piece Collection,3,119207073.0,2467160.0
Divergent Collection,3,763232964.0,0.0
The Disappearance Of Eleanor Rigby,3,985007.0,224781765.0
The Librarian Collection,3,0.0,0.0
Maniac Cop Collection,3,0.0,0.0
The 36th Chamber of Shaolin Collection,3,0.0,0.0
Flowers in the Attic Collection,3,0.0,1366666.67
Cocaine Cowboys,3,163000.0,0.0
Don Camillo Collection,3,0.0,0.0
Arthur and the Invisibles Collection,3,107944236.0,0.0
Feast Collection,3,658573.0,114168932.67
Department Q series,3,5900000.0,0.0
Son of Batman Collection,3,0.0,0.0
Super Giant Collection,3,0.0,0.0
A Golden Christmas Collection,3,0.0,0.0
Vabank (Collection),3,0.0,0.0
Toy Story Collection,3,1937890605.0,0.0
Paradise Lost Collection,3,0.0,125985249.33
Dracula 2000 Collection,3,33000337.0,4025788.33
Armour of God Collection,3,0.0,33734.33
Left Behind Collection,3,0.0,0.0
