,Franchise,Movie_Count,revenue,ganancia_promedio_por_franquicia
200,The Toxic Avenger Collection,4.0,0.0,22612482.25
201,Ringu Collection,4.0,27377073.0,2406107.5
202,The Benji Collection,4.0,0.0,0.0
203,Simon Brenner Collection,4.0,0.0,0.0
204,The Sinbad Collection,4.0,27000000.0,0.0
205,American Pie (Spin-off) Collection,4.0,0.0,0.0
206,The Gamers Collection,4.0,0.0,400000.0
207,Revenge of the Nerds Collection,4.0,22642033.0,0.0
208,Flatfoot Collection,4.0,0.0,654125.75
209,Undisputed Collection,4.0,12398628.0,853124.25
210,Nuke 'Em High Collection,4.0,0.0,0.0
211,The Dirty Dozen Collection,4.0,45300000.0,0.0
212,Trancers Collection,4.0,0.0,9961586.0
213,St. Trinian's Collection,4.0,0.0,0.0
214,Billy Jack Collection,4.0,36000000.0,0.0
215,Harry Palmer Collection,4.0,0.0,0.0
216,The Transporter Collection,4.0,310705790.0,9933173.25
217,Meatballs Collection,4.0,0.0,25833753.25
218,Caprona Collection,4.0,0.0,0.0
219,Madagascar Collection,4.0,2257054393.0,0.0
220,Ghoulies Collection,4.0,35000000.0,0.0
221,Vixens Collection,4.0,6000000.0,559660210.25
222,[REC] Collection,4.0,59265680.0,4284325.5
223,Jurassic Park Collection,4.0,3031484143.0,0.0
224,Dragon Ball Collection,4.0,0.0,652000.0
225,3 Ninjas Collection,4.0,0.0,0.0
226,Eating Out Series,4.0,0.0,438494.75
227,Poison Ivy Collection,4.0,0.0,12890676.25
228,"Murder, She Baked Collection",4.0,0.0,343001400.5
229,Nemesis Collection,4.0,0.0,71982048.5
230,Werner Collection,4.0,0.0,1000000.0
231,House Party Collection,4.0,26386000.0,0.0
232,Alien Collection,4.0,610021801.0,0.0
233,Ator Collection,4.0,0.0,51464728.75
234,Scream Collection,4.0,604382926.0,4300231.25
235,Indiana Jones Collection,4.0,1983733810.0,2231900.0
236,The Karate Kid Collection,4.0,260702809.0,0.0
237,RoboCop Collection,4.0,352066348.0,0.0
238,The Doctor Series,4.0,0.0,0.0
239,Lethal Weapon Collection,4.0,955237243.0,0.0
240,Fu Manchu Collection,4.0,0.0,130820333.25
241,The Whistler collection,4.0,0.0,0.0
242,Starship Troopers Collection,4.0,121214377.0,0.0
243,The Crow Collection,4.0,111917287.0,79848485.75
244,"Ninja, Band of Assassins Collection",4.0,0.0,29985865.25
245,Paranormal Investigations Collection,4.0,0.0,44005509.5
246,Anaconda Collection,4.0,207878665.0,5245246.5
247,The Lion King Collection,4.0,788241776.0,52581934.5
248,Bionicle Collection,4.0,0.0,0.0
249,Sharknado Collection,4.0,0.0,0.0
250,The Omen Collection,4.0,107912717.0,65897853.75
251,Confessions Collection,4.0,0.0,17516977.25
252,Star Trek: The Next Generation Collection,4.0,455312826.0,0.0
253,Justice League (Animated) Collection,4.0,5155325.0,8538275.25
254,Recep İvedik Serisi,4.0,154851495.0,44758447.75
255,Naruto Collection,4.0,17322136.0,133428284.75
256,Wishmaster Collection,4.0,15719109.0,614973.75
257,Swan Princess Series,4.0,10045302.0,0.0
258,Deathstalker Collection,4.0,8890685.0,0.0
259,The Jaws Collection,4.0,798406075.0,7509876.5
260,The Visitors Collection,4.0,0.0,33643369.25
261,Fievel Collection,4.0,125308043.0,122843271.75
262,Bloodsport Collection,4.0,12490470.0,40750.0
263,Batman Collection,4.0,1266085190.0,27584510.75
264,Casper Collection,4.0,287928194.0,0.0
265,Halloweentown Collection,4.0,0.0,0.0
266,The Nancy Drew Collection (Bonita Granville),4.0,0.0,46515679.5
267,House Collection,4.0,9538897.0,0.0
268,Hababam Sınıfı Collection,4.0,0.0,57721182.0
269,DragonHeart Collection,4.0,115267375.0,0.0
270,The Prophecy Collection,4.0,16.0,0.0
271,TekWar Collection,4.0,0.0,0.0
272,Atlas Shrugged Collection,4.0,5474079.0,30170.0
273,The Hunger Games Collection,4.0,2944162634.0,19372904.5
274,Species Collection,4.0,132539663.0,325000.0
275,Mothra Collection,4.0,0.0,8757188.75
276,Killer Tomatoes! Collection,4.0,0.0,4245131.25
277,Saints and Soldiers Collection,3.0,0.0,202416130.0
278,A Better Tomorrow Collection,3.0,4469460.0,0.0
279,Flodder Collection,3.0,0.0,0.0
280,The Yes Men Collection,3.0,0.0,71175245.33
281,Zenon Collection,3.0,0.0,0.0
282,Mark Collection,3.0,0.0,25300736.0
283,Ong Bak Collection,3.0,11277041.0,167272.67
284,Love in the City Collection,3.0,19310550.0,23278271.67
285,Appleseed Collection,3.0,1461989.0,0.0
286,French Fried Vacation,3.0,0.0,0.0
287,Tiny Times Collection,3.0,126.0,3388819.67
288,Black Scorpion Collection,3.0,0.0,0.0
289,Puella Magi Madoka Magica: The Movie,3.0,12947880.0,0.0
290,Sailor Moon Collection,3.0,0.0,0.0
291,Pippi Longstocking,3.0,0.0,0.0
292,Anne of Green Gables Collection,3.0,0.0,60877088.33
293,Trilogía de la violencia de Michael Haneke,3.0,0.0,80928712.33
294,Would I Lie to You? Collection,3.0,113080982.0,0.0
295,The Vengeance Collection,3.0,40738250.0,9236238.67
296,Oskar Luts Collection,3.0,0.0,0.0
297,The Comics Collection,3.0,0.0,0.0
298,Barbie Fairytopia Collection,3.0,0.0,706290.33
299,The Cremaster Cycle,3.0,0.0,16292834.0
300,Annika Bengtzon Collection,3.0,0.0,1790174.0
301,Bikini Summer Collection,3.0,0.0,0.0
302,Unoffical Ghosthouse Series,3.0,0.0,0.0
303,Pusher Collection,3.0,0.0,0.0
304,Johan Falk Collection,3.0,0.0,674045.0
305,Koker Trilogy,3.0,0.0,0.0
306,Batman Unlimited Collection,3.0,0.0,0.0
307,Hellboy (Animated) Collection,3.0,0.0,0.0
308,Samurai Trilogy,3.0,7338987.0,0.0
309,Naked Collection,3.0,0.0,261037659.67
310,Golmaal Collection,3.0,0.0,36244933.33
311,The Gingerdead Man Collection,3.0,0.0,0.0
312,A Chinese Ghost Story Collection,3.0,0.0,24587505.33
313,Berserk: Golden Age Arc,3.0,0.0,2666666.67
314,The Trip Collection,3.0,951179.0,28549188.33
315,Harold & Kumar Collection,3.0,102817243.0,2963561.67
316,Samurai Collection,3.0,0.0,0.0
317,Honey Collection,3.0,62646763.0,12000000.0
318,Prostokvashino Collection,3.0,0.0,0.0
319,Europa Trilogy,3.0,0.0,0.0
320,Darkman Collection,3.0,48878502.0,39090255.0
321,Самый лучший фильм - Коллекция,3.0,9816332.0,1966666.67
322,Pitbull - Kolekcja,3.0,0.0,0.0
323,Hate Story Collection,3.0,0.0,0.0
324,Otto Collection,3.0,0.0,0.0
325,Ginger Snaps Collection,3.0,0.0,1230356738.67
326,Tenchi Muyô Collection,3.0,0.0,0.0
327,The Good Witch Collection,3.0,0.0,0.0
328,Kizumonogatari,3.0,0.0,0.0
329,The Cabin Fever Collection,3.0,30553394.0,41337022.67
330,Elements Trilogy,3.0,11452892.0,0.0
331,S.W.A.T. Collection,3.0,116643346.0,0.0
332,Trilogie,3.0,0.0,29311740.33
333,Winnie-the-Pooh (Russian),3.0,0.0,0.0
334,Les Ripoux - Trilogie,3.0,0.0,0.0
335,The Work and the Glory Collection,3.0,6697771.0,0.0
336,The Klapisch Trilogy,3.0,27625100.0,49798809.0
337,Aki Kaurismäki's Finland trilogy,3.0,1615018.0,88450070.67
338,Maigret (Rowan Atkinson) Collection,3.0,0.0,0.0
339,Gourmet Detective Collection,3.0,0.0,0.0
340,Willard,3.0,0.0,478362120.67
341,Ivan Tsarevich & the Grey Wolf Collection,3.0,27724000.0,0.0
342,Class of 1999 Collection,3.0,2459895.0,0.0
343,Not Quite Human Collection,3.0,0.0,0.0
344,Lovey-Dovey Collection,3.0,17850711.0,0.0
345,The Cheetah Girls Collection,3.0,0.0,80546430.0
346,The Matt Helm Collection,3.0,18718124.0,63207564.33
347,The Adventures of Erast Fandorin,3.0,0.0,0.0
348,The Butterfly Effect Collection,3.0,96060858.0,14820283.33
349,The Orphic Trilogy,3.0,0.0,6123502.0
350,Overheard Collection,3.0,0.0,254410988.0
351,Topper Collection,3.0,0.0,0.0
352,That's Entertainment Collection,3.0,0.0,5759.0
353,Major Korenev Trilogy,3.0,5166340.0,0.0
354,Naval Cadets Collection,3.0,0.0,49276310.0
355,The Grudge Collection,3.0,261228450.0,0.0
356,It's Alive Collection,3.0,0.0,0.0
357,Witchboard Collection,3.0,168180.0,0.0
358,The Elusive Revengers Collection,3.0,0.0,27687052.67
359,Night of the Demons Collection,3.0,3109904.0,87980.33
360,"No Retreat, No Surrender Collection",3.0,4770291.0,0.0
361,Anchorman Collection,3.0,264223203.0,156853649.67
362,The Philadelphia Experiment - Collezione,3.0,2970.0,0.0
363,The Human Condition,3.0,0.0,0.0
364,Dead or Alive Collection,3.0,0.0,0.0
365,Per Fly trilogien (Samling),3.0,0.0,303137.67
366,Robot Jox Collection,3.0,0.0,337396.33
367,Infernal Affairs Collection,3.0,8708932.0,11000112.33
368,The Complete Monterey Pop Festival,3.0,0.0,0.0
369,Silence of God Trilogy by Ingmar Bergman,3.0,0.0,37373730.67
370,Vampire Karnstein (Hammer series),3.0,0.0,0.0
371,The Delta Force Collection,3.0,24467261.0,0.0
372,Legend of the Galactic Heroes Collection,3.0,0.0,38422458.33
373,Thou Shalt Laugh Collection,3.0,0.0,0.0
374,Walking Tall Collection,3.0,57223890.0,0.0
375,The Prince & Me Collection,3.0,0.0,0.0
376,The Boogeyman Collection,3.0,67192859.0,0.0
377,The Man from U.N.C.L.E. Collection,3.0,0.0,152126633.0
378,Screwballs Collection,3.0,0.0,5061747.0
379,Kung Fu Panda Collection,3.0,1818607666.0,0.0
380,12 Rounds Collection,3.0,17280326.0,0.0
381,V/H/S Collection,3.0,124934.0,10689000.0
382,Garfield (Animation) Collection,3.0,0.0,0.0
383,Ranma Collection,3.0,0.0,0.0
384,The Hangover Collection,3.0,1075726677.0,0.0
385,Bad Ass Collection,3.0,0.0,0.0
386,Nativity Collection,3.0,0.0,1595596.33
387,Lucky Stars Collection,3.0,0.0,0.0
388,Star Trek: Alternate Reality Collection,3.0,1196517508.0,754840.67
389,The Wolverine Collection,3.0,1405305345.0,0.0
390,The Millennium Collection,3.0,214839043.0,6035.67
391,Shaolin Temple Collection,3.0,19712261.0,3817630.67
392,La Trilogie Marseillaise,3.0,0.0,21009227.0
